created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 17 14:13:45 +0000 2023;1714283559954129251;"gatau knp ini pangkalan data pddikti sama siakad unj muter2 doang, dahal buka yutup masih sabi";0;2;0;0;in;979991149;1714283559954129251;Dwi_nfBella;https://twitter.com/Dwi_nfBella/status/1714283559954129251
Fri Oct 06 14:44:21 +0000 2023;1710304995688517793;"-unj haloo mau tanya dong, kalo kita ada pertanyaan pertanyaan terkait pengisian siakad itu nanyanya ke siapa yaa? TU prodi kah?";0;1;0;0;in;1254994067387117570;1710304995688517793;UNJmenfess;https://twitter.com/UNJmenfess/status/1710304995688517793
Tue Sep 26 11:59:32 +0000 2023;1706639638541357496;"Simak informasinya yaa MPer’s Muda‼️ 1️⃣Mahasiswa agar melakukan cek ulang dan melengkapi semua data diri di laman SIAKAD UNJ berikut https://t.co/zYfjsj11TD dan memastikan data diisikan adalah benar.";0;1;0;0;in;259759490;1706639633625595936;HimaMPUNJ;https://twitter.com/HimaMPUNJ/status/1706639638541357496
Tue Sep 26 11:59:31 +0000 2023;1706639633625595936;"[ 📣 INFORMASI PENGISIAN &amp  PERBAIKAN DATA DIRI DI SIAKAD UNJ 📣 ]   Halo MPer's 👋🏼👋🏼  Ada informasi penting nih untuk MPer’s Angkatan 2023?🤔  Yukk, diperhatikan yaa informasi penting ini terkait pengisian &amp  perbaikan data diri untuk MPer’s Muda🤩. https://t.co/QkFrz7Yut8";0;1;0;1;in;259759490;1706639633625595936;HimaMPUNJ;https://twitter.com/HimaMPUNJ/status/1706639633625595936
Tue Sep 19 06:50:23 +0000 2023;1704025126076133484;"From : maba 23 To : all kating unj  Message :  Solusi buat masalah kaya gini kira" gimana ya? setiap login wifi unj buat mahasiswa yang dari siakad lewat laptop, selalu ga keluar link buat login nya, malah kaya gtu mluu. Tapi kalo login pake akun yang sama lewat hp bisaa&amp kenceng… https://t.co/xdOG8ZXgFx";0;4;0;2;in;1555993601309831168;1704025126076133484;unjsecret;https://twitter.com/unjsecret/status/1704025126076133484
Thu Sep 07 05:30:34 +0000 2023;1699656383665410336;"-unj cara liat email sama password akun unj dimana sih? Yang dulu ada di home siakad itu, sekarang udah gaada dan ganyimpen 😥";0;1;0;0;in;1254994067387117570;1699656383665410336;UNJmenfess;https://twitter.com/UNJmenfess/status/1699656383665410336
Mon Sep 04 01:52:04 +0000 2023;1698514233804132369;"gawat.. gue lupa pw siakad unj";0;1;0;0;in;1413090354161586187;1698514233804132369;yourkiitten;https://twitter.com/yourkiitten/status/1698514233804132369
Thu Aug 31 23:40:40 +0000 2023;1697394000909811773;"Pabapa buibu mau nanya dong, pembukaan pendaftaran wisuda di siakad -unj kapan yyh?";0;0;0;2;in;1254994067387117570;1697394000909811773;UNJmenfess;https://twitter.com/UNJmenfess/status/1697394000909811773
Tue Aug 29 03:17:55 +0000 2023;1696361510317240378;"Siakad -unj masih blm bisa tambah KRS ya?";0;0;0;1;in;1254994067387117570;1696361510317240378;UNJmenfess;https://twitter.com/UNJmenfess/status/1696361510317240378
Mon Aug 28 07:01:40 +0000 2023;1696055431230337435;"@unjsecret siakad ga eror ga unj";0;0;0;0;in;1442974105976721420;1696000162743943353;lovingtolosing;https://twitter.com/lovingtolosing/status/1696055431230337435
