created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun May 04 07:57:10 +0000 2014;462863491485794304;"@SiakadUNJ Kami memanggil para pemuda/i S1 untuk #SiapJadiGuru di pelosok INDONESIA brsama @SGIDompetDhuafa | Daftar: http://t.co/jRVMWczPi9";0;0;0;0;in;2217842096;462863491485794304;GuruAgungPD;https://twitter.com/GuruAgungPD/status/462863491485794304
Fri May 02 15:36:38 +0000 2014;462254344226623489;"Siakad nya RT @MahasiswaUNJ: Apasih 1 hal yang bisa jadi jawaban saat orang bertanya : "Apa yang bisa lo banggakan dari UNJ?" #ObrolMUNJ";0;1;0;0;in;388171949;462254344226623489;Fakhrihab;https://twitter.com/Fakhrihab/status/462254344226623489
Fri Apr 25 18:45:37 +0000 2014;459765187734556672;"Server KAI sama ngeselinnya kayak server siakad UNJ.";0;0;0;0;in;188262969;459765187734556672;shelskii;https://twitter.com/shelskii/status/459765187734556672
Fri Apr 18 11:15:54 +0000 2014;457115299284676609;"@SiakadUNJ TERBIT BUKU TATA BAHASA JEPANG PALING LENGKAP. TERSEDIA DI SELURUH GRAMEDIA,GUNUNG AGUNG ATAU PESAN ONLINE http://t.co/31RKUvb62Y";0;0;0;0;in;2339453784;457115299284676609;DaftarBaca;https://twitter.com/DaftarBaca/status/457115299284676609
Sun Apr 13 20:40:24 +0000 2014;455445421335531520;"Kenapa sih instalasi2 negeri tuh gak memberikan fasilitas yg memadai. Akses daftar ONLINE POLRI sama jeleknya kayak akses SIAKAD UNJ!!!";0;0;0;0;in;169498298;455445421335531520;mawareee;https://twitter.com/mawareee/status/455445421335531520
Wed Apr 09 01:29:04 +0000 2014;453706126157041664;"Woi jgn bawa" siakad -_- rahasia dapur unj tuh "@nonamayer: Yaahh gimana mau tau para calon legislatifnya kalo server untuk situs pemilu-nya";0;1;0;0;in;2351062910;453706126157041664;bhabehuhuy212;https://twitter.com/bhabehuhuy212/status/453706126157041664
Sat Apr 05 05:29:37 +0000 2014;452317110723543040;"GILAK ERRORNYA KIOSTIX DAH KAYA SIAKAD UNJ KAMPUS GUA T_T YA ALLAH ...";0;0;0;0;in;971790500;452317110723543040;vinanovi12;https://twitter.com/vinanovi12/status/452317110723543040
Fri Mar 28 08:49:47 +0000 2014;449468381809217536;"Untuk tenaga pendidik dan kependidikan ada infomasi bagus http://t.co/152c4ny82p 2014 http://t.co/Zx7YxXJ6QU";0;0;0;0;in;452650748;449468381809217536;SiakadUNJ;https://twitter.com/SiakadUNJ/status/449468381809217536
Thu Mar 20 12:54:59 +0000 2014;446630986533457920;"INFO LOMBA | Lomba 2014 | Call For Paper LKTI Pekan Teknik Kimia 2014 http://t.co/grJU5mjiSQ @SiakadUNJ";0;0;1;0;in;522244796;446630986533457920;HIMATEKI_UNRI;https://twitter.com/HIMATEKI_UNRI/status/446630986533457920
Thu Mar 20 08:40:36 +0000 2014;446566965532835841;"nternational Ambassador Scholarships, University of West London, UK Info lengkap di http://t.co/8WEMTazNd1";0;0;0;0;in;452650748;446566965532835841;SiakadUNJ;https://twitter.com/SiakadUNJ/status/446566965532835841
