tweet,Compund_Score,Sentiment
gatau why the base of the data pddikti siakad unj muter just dahal open yut yut Sabi,0.0,Positif
"UNJ Hello hook the contents of the siakad ask, yes",0.4019,Positif
"Check out the information, young students, students, re -check complete data, siakad unj data contents",0.0,Positif
"information on good contents Siakad Data UNJ HALO Mpers Mpers information Lifting, let's pay attention to the information about the good contents",0.6597,Positif
From Maba to All Kating Unj Message Solutions Rich Gin How to Login Wifi Unj Student Siakad Laptop Link Login Login like MLUU Login using a HP account can be fast,0.7783,Positif
UNJ see the email password for the UNJ account where home siakad is noisy,-0.1779,Negatif
bad I forgot PW Siakad UNJ,-0.5423,Negatif
PABAPA Buibu Asking Open the Siakad UNJ YYH Graduation List,0.0,Positif
Cacadunj Balam Karas,0.0,Positif
Siakad Error UNJ,-0.4019,Negatif
gais siakad error gasih uj,-0.4019,Negatif
"From Maba to Huni UNJ MISSION Brother Login Siakad Consultation, yes, my friend is logged in using the nim can't be right",0.7096,Positif
BEM BEM Adsoma Nder Mrk Pling Taun Nim I register siakad pdhl when paying directly fktor pay late to chat admissions unj telegram,-0.1027,Negatif
UNJ NGANIN UKT Thesis already paid for trying to pay for double the double and then cut it full,-0.3612,Negatif
"hello, my gais is a bomb login siakad unj",-0.4939,Negatif
gais change the password siakad unj day can,0.0,Positif
siakad unj kaga pray nichh down muluu,0.3182,Positif
"This is the web siakad, unj udh, the web promoter is a jir concert, aka lag really tai",-0.34,Negatif
"WTA take the matkul yet, take it when you take the class of all siakad bkn unj class",0.0,Positif
UNJ SIAKAD ERROR Filling KRS The Clock Column Not See Day Afraid of Fonding the wrong KRS FEAR,-0.8877,Negatif
UNJ SIAKAD ERROR KAH already looking for the sexy code name Matkuldocene No Result,-0.3034,Negatif
siakad unj error doesn't like it like that the login page,-0.7114,Negatif
UNJ see the student email of UNJ where is it really siakad,0.0,Positif
check siakad unj academic guidelines fis looking for your study program,0.0,Positif
from child UNJ to children UNJ moved the domicile kk the Siakad student data address was definitely replaced but replace it directly to replace Siakad Advo KORPRODI YAH TANKAH UDH,0.3818,Positif
cm children UNJ Login Info Repository Using Account Enter Usrnm PW Siakad can't try using nim can not,0.0,Positif
from student to citizen UNJ Message Open KHS Siakad Login page,0.0,Positif
lecture like meeting on July August the cost of Rp.,0.3612,Positif
Postgraduate Academic Sender UNJ DEAR Postgraduate Academic Postgraduate Student Postgraduate Needs Certainly Regarding Siakad Academic Academic Code New Code Cont,0.694,Positif
from to layer the people of UNJ UNJ the value is already very fixed by the value of the Matkul Value alias empty panic,0.2732,Positif
from ank study program fip to student UNJ MESSAGE INFO SIAKAD VALUE MSH GIN Open the contents,0.4824,Positif
Lecture Semester Ta Hello Active Student MP FIP FIP UNJ Information like academic semester contents KRS Siakad June July Lecture July August,0.6369,Positif
from MHS UNJ to MHS UNJ forgot PW Siakad Hub telephone UPT ICT TIK but check the pusticom immediately experienced rich gin,0.7096,Positif
from ft to son UNJ Siakad Bom Message see the value of kaka kaka last night,0.34,Positif
GMN Nature Value Unj Siakad Value according to SM Value of Test Results,0.7351,Positif
pips pips let's check the account siakad fill in the value according to forgot to fill in the contents of the pssst fill in the value of siakad you know the contents of June pass by,0.5859,Positif
From to kaka kaka unj massage aska forgot to use a password username Siakad where you take care of it,0.4939,Positif
PPP EDOM SIAKAD UNJ ANONYM,0.0,Positif
"UNJ can not open siakad because the wrong password username is in accordance with it yet, yes, the problem is when you open the simpresmawa can use pw solutions",-0.34,Negatif
Guys Login Siakad UNJ Write Password Username Wrong Using Save Google How to Sick Forgot Functions Functions,-0.4939,Negatif
guys forgot pw siakad unj how,0.0,Positif
Siakad UNJ Gemb Bgt,0.0,Positif
Siakad Form Good Input Value Wait Waiting Suggestions Lecturers Yaa thanks in advance,0.802,Positif
UNJ GPK How about Siakad,0.0,Positif
"Sis UNJ asked forgotten the username of PW Siakad how to take care of it, thank you, sorry",0.5423,Positif
ni why dh siakad unj doesn't open,0.0,Positif
"UNJ Hello everyone Asking Urgent very Urgent Can't Login Siakad Login LMS Pass Pass Email when I have clicked forgot the pass entering the email failed, sis sis sis.",-0.1045,Negatif
"UNJ Hello asked proof of payment from the bank, it was needed that it was lost using proof of payment of Siakad Makasii",-0.3182,Negatif
print transcript of cumulative GPA value cumulative semester Siakad UJ Study Program,0.34,Positif
see where the UNJ email password is no siakad,-0.296,Negatif
UNJ Weh understands the list of Siakad Class Students,0.0,Positif
UNJ actually finished the class of siakad clock paused the SKS but teach it not to break the minute,0.0,Positif
Gais asked the email pass domain mhs uj see which siakad udh,0.0,Positif
UNJ sees where the email password is unj where home siakad isn't there,0.0,Positif
Siakad Gaes UNJ campus email,0.0,Positif
"I am confused about the original Siakad UNJ, take the BATESIN, so taro, the contents",0.0,Positif
from to nax unj message siakad lot,0.0,Positif
"ask siakad unj change the password, forgot the password but",0.0,Positif
"Check the bombing bombing ukt, how come Drikemareren Mane Siakad Kaga UNJ",0.0,Positif
Siakad Glowup Rarely Open the Yagesya UNJ Web,0.0,Positif
UNJ Siakad Mas Good Value Get Revised Value Kirakira,0.7717,Positif
"UNJ has already paid for the bright UKT, which is already siakad for where",0.4404,Positif
"UNJ Guys Gausa Panic the value of the ILANGG SIAKAD is the date of the Timeline, the good value of friends, the good value of the value of the lecturer, the grades, will also appear, hopefully the answer",0.9423,Positif
UNJ CLOSE KHS SIAKAD KAH RIGHT OF THE OFFICIAL DATE,0.0,Positif
UNJ SIAKAD KHS CLOSE VALUE,0.34,Positif
"UNJ checks siakad, please change the IP value",0.5719,Positif
UNJ Asks for Paying Ukt Teller Sunday Siakad Paying Write Kepa Data Paying Ok,0.296,Positif
UNJ SIAKAD PAY STATUS PAY appears on the left line already paid nnt a status appears,-0.505,Negatif
UNJ Friends Login Siakad We Are Not Notifie,0.4767,Positif
UNJ GAIS Lecturer Changing Siakad Value,0.34,Positif
"UNJ is a grade, I haven't seen it yet, it's not good",-0.3412,Negatif
Value of Siakad UNJ,0.34,Positif
UNJ Format Absent Download Siakad which one,0.0,Positif
UNJ saw the UKT already paid for Siakad,0.0,Positif
UNJ UAS Value Exit Siakad,0.34,Positif
I breathe an intention to open the Wanpis link open siakad unj,0.0,Positif
nder students are made by the personal email of the password the password is different km Maba waiting for Siakad to appear but the stage,0.0,Positif
UNJ Siakad Value Appears Honestly Degdegan Waiting,0.6597,Positif
siakad unj can't access laptops,0.0,Positif
Siakad UNJ's Pay Status menu disappens like that,0.2732,Positif
see info pay ukt UNJ where is siukat siakad,-0.1027,Negatif
Ask UNJ can not login siakad pdhl username password dh really forgot the password using an email unj can not,0.0,Positif
UNJ EDOM SIAKAD UDH Fill in,0.0,Positif
UNJ Value Appears Siakad,0.34,Positif
UNJ Needs Suggestions Semester LG MBKM Exchange Teaching SM UPI BDG TRS SIAKAD Fill in KRS Sender Msih Msih Msih Contents The contents of the Lecturer Lecturer Dr. Meet SMP UTS Sdgkn Lecturer,0.0,Positif
siakad lg error yaa uj,-0.4019,Negatif
"Hello sis, enter the repository download the thesis of the children of unj login using the account sis, try usn pass siakad can't be used",0.0,Positif
see the status of paying siakad gmn unj,0.0,Positif
UNJ see the proof of payment of UKT Siakad,0.0,Positif
Password siakad unju tuu tuu huh forgot pw huhu repp yaa makasiii,0.0,Positif
see ukt dmn siakad unj,0.0,Positif
UNJ Menu Paying Siakad already has no paid for the UKT,-0.296,Negatif
"donk sis, after the contents of EDOM SIAKAD UNJ, the value of IP is immediately waiting for you, thank you, you've been nervous",0.4215,Positif
Confide in Password LMS Bakhum UNJ Siakad Honest Already Login Tiga Forgot to contact the help center is given a new login info and login the Bakhumku account uses Login Info.,0.7184,Positif
UNJ CREATE NEW ACCOUNT WEB SIBERING USING PERSONAL EMAIL CLEARS WRITE SIAKAD MEDIA TEACHING USING UNJ EMAIL TP DISBERING USING PERSONAL EMAIL GAPAPE EMAIL DRI,0.34,Positif
"UNJ PW Siakad can't replace it already, try to change PW but can't be a danger",0.5667,Positif
UNJ Gengs Confused LMS HRS List PKE Email UNJ SIAKAD LOGIN LOGIN USING Password Email,-0.3182,Negatif
"Schapp Lecture UNJ Asking Proof of Paying UKT Siakad, I don't have the column, thank you",0.3612,Positif
