created_at,full_text,username,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
2023-10-17,gatau knp ini pangkalan data pddikti sama siakad unj muter doang dahal buka yutup masih sabi,Dwi_nfBella,"['gatau', 'knp', 'ini', 'pangkalan', 'data', 'pddikti', 'sama', 'siakad', 'unj', 'muter', 'doang', 'dahal', 'buka', 'yutup', 'masih', 'sabi']","['gatau', 'knp', 'pangkalan', 'data', 'pddikti', 'siakad', 'unj', 'muter', 'doang', 'dahal', 'buka', 'yutup', 'sabi']","['gatau', 'knp', 'pangkal', 'data', 'pddikti', 'siakad', 'unj', 'muter', 'doang', 'dahal', 'buka', 'yutup', 'sabi']"
2023-10-06,unj haloo mau tanya dong kalo kita ada pertanyaan pertanyaan terkait pengisian siakad itu nanyanya ke siapa yaa tu prodi kah,UNJmenfess,"['unj', 'haloo', 'mau', 'tanya', 'dong', 'kalo', 'kita', 'ada', 'pertanyaan', 'pertanyaan', 'terkait', 'pengisian', 'siakad', 'itu', 'nanyanya', 'ke', 'siapa', 'yaa', 'tu', 'prodi', 'kah']","['unj', 'haloo', 'terkait', 'pengisian', 'siakad', 'nanyanya', 'yaa', 'tu', 'prodi', 'kah']","['unj', 'haloo', 'kait', 'isi', 'siakad', 'nanyanya', 'yaa', 'tu', 'prodi', 'kah']"
2023-09-26,simak informasinya yaa mpers muda mahasiswa agar melakukan cek ulang dan melengkapi semua data diri di laman siakad unj berikut dan memastikan data diisikan adalah benar,HimaMPUNJ,"['simak', 'informasinya', 'yaa', 'mpers', 'muda', 'mahasiswa', 'agar', 'melakukan', 'cek', 'ulang', 'dan', 'melengkapi', 'semua', 'data', 'diri', 'di', 'laman', 'siakad', 'unj', 'berikut', 'dan', 'memastikan', 'data', 'diisikan', 'adalah', 'benar']","['simak', 'informasinya', 'yaa', 'mpers', 'muda', 'mahasiswa', 'cek', 'ulang', 'melengkapi', 'data', 'laman', 'siakad', 'unj', 'data', 'diisikan']","['simak', 'informasi', 'yaa', 'mpers', 'muda', 'mahasiswa', 'cek', 'ulang', 'lengkap', 'data', 'laman', 'siakad', 'unj', 'data', 'isi']"
2023-09-26,informasi pengisian amp perbaikan data diri di siakad unj halo mpers ada informasi penting nih untuk mpers angkatan yukk diperhatikan yaa informasi penting ini terkait pengisian amp perbaikan data diri untuk mpers muda,HimaMPUNJ,"['informasi', 'pengisian', 'amp', 'perbaikan', 'data', 'diri', 'di', 'siakad', 'unj', 'halo', 'mpers', 'ada', 'informasi', 'penting', 'nih', 'untuk', 'mpers', 'angkatan', 'yukk', 'diperhatikan', 'yaa', 'informasi', 'penting', 'ini', 'terkait', 'pengisian', 'amp', 'perbaikan', 'data', 'diri', 'untuk', 'mpers', 'muda']","['informasi', 'pengisian', 'perbaikan', 'data', 'siakad', 'unj', 'halo', 'mpers', 'informasi', 'mpers', 'angkatan', 'yukk', 'diperhatikan', 'yaa', 'informasi', 'terkait', 'pengisian', 'perbaikan', 'data', 'mpers', 'muda']","['informasi', 'isi', 'baik', 'data', 'siakad', 'unj', 'halo', 'mpers', 'informasi', 'mpers', 'angkat', 'yukk', 'perhati', 'yaa', 'informasi', 'kait', 'isi', 'baik', 'data', 'mpers', 'muda']"
2023-09-19,from maba to all kating unj message solusi buat masalah kaya gini kira gimana ya setiap login wifi unj buat mahasiswa yang dari siakad lewat laptop selalu ga keluar link buat login nya malah kaya gtu mluu tapi kalo login pake akun yang sama lewat hp bisaaamp kenceng,unjsecret,"['from', 'maba', 'to', 'all', 'kating', 'unj', 'message', 'solusi', 'buat', 'masalah', 'kaya', 'gini', 'kira', 'gimana', 'ya', 'setiap', 'login', 'wifi', 'unj', 'buat', 'mahasiswa', 'yang', 'dari', 'siakad', 'lewat', 'laptop', 'selalu', 'ga', 'keluar', 'link', 'buat', 'login', 'nya', 'malah', 'kaya', 'gtu', 'mluu', 'tapi', 'kalo', 'login', 'pake', 'akun', 'yang', 'sama', 'lewat', 'hp', 'bisaaamp', 'kenceng']","['from', 'maba', 'to', 'all', 'kating', 'unj', 'message', 'solusi', 'kaya', 'gini', 'gimana', 'login', 'wifi', 'unj', 'mahasiswa', 'siakad', 'laptop', 'link', 'login', 'kaya', 'gtu', 'mluu', 'login', 'pake', 'akun', 'hp', 'bisaaamp', 'kenceng']","['from', 'maba', 'to', 'all', 'kating', 'unj', 'message', 'solusi', 'kaya', 'gin', 'gimana', 'login', 'wifi', 'unj', 'mahasiswa', 'siakad', 'laptop', 'link', 'login', 'kaya', 'gtu', 'mluu', 'login', 'pake', 'akun', 'hp', 'bisaaamp', 'kenceng']"
2023-09-07,unj cara liat email sama password akun unj dimana sih yang dulu ada di home siakad itu sekarang udah gaada dan ganyimpen,UNJmenfess,"['unj', 'cara', 'liat', 'email', 'sama', 'password', 'akun', 'unj', 'dimana', 'sih', 'yang', 'dulu', 'ada', 'di', 'home', 'siakad', 'itu', 'sekarang', 'udah', 'gaada', 'dan', 'ganyimpen']","['unj', 'liat', 'email', 'password', 'akun', 'unj', 'dimana', 'home', 'siakad', 'udah', 'gaada', 'ganyimpen']","['unj', 'liat', 'email', 'password', 'akun', 'unj', 'mana', 'home', 'siakad', 'udah', 'gaada', 'ganyimpen']"
2023-09-04,gawat gue lupa pw siakad unj,yourkiitten,"['gawat', 'gue', 'lupa', 'pw', 'siakad', 'unj']","['gawat', 'gue', 'lupa', 'pw', 'siakad', 'unj']","['gawat', 'gue', 'lupa', 'pw', 'siakad', 'unj']"
2023-08-31,pabapa buibu mau nanya dong pembukaan pendaftaran wisuda di siakad unj kapan yyh,UNJmenfess,"['pabapa', 'buibu', 'mau', 'nanya', 'dong', 'pembukaan', 'pendaftaran', 'wisuda', 'di', 'siakad', 'unj', 'kapan', 'yyh']","['pabapa', 'buibu', 'nanya', 'pembukaan', 'pendaftaran', 'wisuda', 'siakad', 'unj', 'yyh']","['pabapa', 'buibu', 'nanya', 'buka', 'daftar', 'wisuda', 'siakad', 'unj', 'yyh']"
2023-08-29,siakad unj masih blm bisa tambah krs ya,UNJmenfess,"['siakad', 'unj', 'masih', 'blm', 'bisa', 'tambah', 'krs', 'ya']","['siakad', 'unj', 'blm', 'krs']","['siakad', 'unj', 'blm', 'krs']"
2023-08-28,siakad ga eror ga unj,lovingtolosing,"['siakad', 'ga', 'eror', 'ga', 'unj']","['siakad', 'eror', 'unj']","['siakad', 'eror', 'unj']"
